epoch,train_loss,train_rmse,train_mae,val_loss,val_rmse,val_mae
1,5.07196782274944,2.252102977360241,1.7599719115212857,5.01040700503758,2.2383938449338134,1.8187729631151472
2,3.9263815452941504,1.9815099154841465,1.561734771517058,4.444398982184274,2.1081743244296174,1.699331521987915
3,3.524824056815678,1.8774514789358445,1.4601148803059647,3.496099352836609,1.8697859109632335,1.4189940094947815
4,2.9788320164987097,1.725929319670626,1.3403021417013028,3.4968959263392856,1.869998910785588,1.4779826232365199
5,2.5779230856313937,1.6055911949705852,1.2586788190177698,2.486175094332014,1.5767609502813082,1.2405110853058952
6,1.7702319807065299,1.3305006496022287,1.022513023765547,1.7303135395050049,1.315413828232395,1.0165306840624129
7,1.4743959932792476,1.214247089055291,0.9284708988904424,1.4721427985600062,1.2133189187348914,0.9264229025159564
8,1.117951513922664,1.0573322626584047,0.7994934402389695,1.3255102975027901,1.1513080810551057,0.9414116144180298
9,1.1918773082830425,1.0917313350906075,0.8281310709511361,1.5691933802195959,1.2526744909271506,0.9514971375465393
10,1.0988068211237236,1.0482398680920524,0.8025290746646552,1.1990519506590707,1.0950123061678672,0.8464140040533883
11,0.8498815188386752,0.9218901879868958,0.6963755265043474,1.0909882613590784,1.0445038350140599,0.8360066669327872
12,0.8010094017781598,0.894991285867164,0.6800932440155097,0.8600865091596331,0.9274084909896141,0.7190610681261335
13,0.6782861519811423,0.8235812963617011,0.6218084316295953,0.9463027885981968,0.972780956124346,0.7412432176726205
14,0.811639493690626,0.9009103693989908,0.6851967168753005,0.8214989645140511,0.9063658006092524,0.7031071015766689
15,0.7424631787509453,0.8616630307066813,0.6749880900668463,0.908236929348537,0.9530146532706288,0.7843265959194728
16,0.8901762193163852,0.9434915044938471,0.7256343909219205,1.0995071274893624,1.048573854093913,0.8444837502070835
17,0.7794059171380595,0.88283968922661,0.6841719782273151,1.1954529285430908,1.0933677005212339,0.8721077271870205
18,0.6868438348008894,0.8287604204693702,0.6280181426431017,0.7447649495942252,0.862997653295897,0.6893921409334455
19,0.5812188143740736,0.7623770814853196,0.5864278382049696,0.8318632330213275,0.9120653666384485,0.692596469606672
20,0.48076262574502476,0.6933704821238805,0.518700696412317,0.9160078082765851,0.9570829683348174,0.781803982598441
21,0.5359385487377776,0.7320782394469166,0.5558436397966947,0.6601734161376953,0.8125105637083713,0.642044016293117
22,0.46694680592437543,0.6833350612432934,0.5158169195551565,0.5750394208090646,0.758313537271401,0.5913810304233006
23,0.39077962072619843,0.6251236843427055,0.46593734509664736,0.6713714599609375,0.8193726014219279,0.648963485445295
24,0.46625530376138286,0.6828288978663563,0.508830036133726,0.606486942086901,0.7787727152943283,0.6278931328228542
25,0.410928835493498,0.6410373119884184,0.4879566716513454,0.6917565890720913,0.8317190565762523,0.6767498169626508
26,0.41997473810834524,0.648054579371231,0.4938690968997727,0.5649336406162807,0.7516206760170191,0.5816962208066668
27,0.3732280962483053,0.6109239691779528,0.4610533629711346,0.6037052273750305,0.7769847021499398,0.6370591265814645
28,0.37944966700018906,0.6159948595566274,0.47371269911197234,0.6167015859058925,0.7853034992319164,0.5909848979541233
29,0.3424818237578525,0.5852194662900511,0.43712488087740814,0.6423157027789524,0.8014460074009679,0.6048723970140729
30,0.30962790122581957,0.5564421813564994,0.4160760869736682,0.568659348147256,0.7540950524617278,0.5836210421153477
31,0.3032564160036142,0.5506872214528435,0.41296479337231284,0.5884878379958016,0.7671296096461155,0.5822680337088448
32,0.3336960282796238,0.5776642867735059,0.44185330307404375,0.5266871622630528,0.7257321560073337,0.5482943824359349
33,0.34566618257642057,0.5879338249695967,0.44812341169877484,0.7208320924213955,0.8490183110047719,0.6147718855312893
34,0.3693573753743901,0.6077477892797226,0.4605117682078461,0.5687250239508492,0.7541385973087766,0.5855686834880284
35,0.30739880348256315,0.5544355719852065,0.424503909510678,0.5074036291667393,0.712322700162461,0.5541485803467887
36,0.2735309290581955,0.5230018441890575,0.39215543436634037,0.5194695677076068,0.7207423726322789,0.5573913029261998
37,0.2538539055247529,0.5038391662938806,0.37429518022981295,0.4838273099490574,0.6955769619165498,0.5495996900967189
38,0.24987104700304189,0.4998710303698764,0.3762454542511054,0.4699752415929522,0.6855474028781322,0.5382581864084516
39,0.2628720877175849,0.5127105301411167,0.38547163712740473,0.496831408568791,0.7048626877405209,0.5458077618053981
40,0.2783984961504418,0.5276348131846128,0.39950541117767535,0.47370022535324097,0.6882588360153765,0.5421587654522487
41,0.2574130265318898,0.5073588734799556,0.382810124669001,0.48885356528418406,0.699180638522109,0.5172701137406486
42,0.2449431511885311,0.49491731752741397,0.3728498882570711,0.4372232896941049,0.6612286213512728,0.5160386647496905
43,0.29843128414746134,0.5462886454498769,0.41540379614100487,0.5038713642529079,0.7098389706496171,0.5436592016901288
44,0.28422934603268185,0.5331316403728082,0.3959331476767682,0.7575255887848991,0.870359459525143,0.6787916762488229
45,0.27296213987396983,0.5224577876479303,0.3931449619999482,0.5293246933392116,0.7275470385749718,0.5457981910024371
46,0.24138021455900102,0.4913046045243622,0.36906766151377474,0.8454035690852574,0.9194583019828889,0.7233752523149762
47,0.41794547473313803,0.6464870259460881,0.5054531367020703,0.5289985878126962,0.7273228910275656,0.5831140960965838
48,0.27323954269917733,0.5227231988979799,0.3951248714241907,0.5518182345799038,0.742844690752989,0.5603844267981393
49,0.2409536296671087,0.49087027784039716,0.36875805278575075,0.5095183849334717,0.713805565216097,0.545238733291626
50,0.2492656774174612,0.4992651373944121,0.36773872084733916,0.5980567591530936,0.773341295388455,0.5756421685218811
51,0.2495962596785467,0.49959609654054216,0.3800579682157732,0.4910943167550223,0.7007812188943296,0.5215717809540885
52,0.2233841036118055,0.4726352754453325,0.35901622484105655,0.509001510483878,0.7134434178572804,0.5488590342657906
53,0.1976459293302041,0.4445738737984089,0.3355948663339382,0.4415732664721353,0.6645097941130254,0.5188789708273751
54,0.2142269451443742,0.46284656746292624,0.33893465678601997,0.4412359595298767,0.6642559442939722,0.49739540049007963
55,0.2260762613324527,0.47547477461944543,0.3596682606673822,0.44719540221350534,0.6687267021837138,0.503225313765662
56,0.1854604408640555,0.4306511823553437,0.3257384773368582,0.4034574329853058,0.6351829917317574,0.4843329276357378
57,0.17624325635626154,0.41981335893435,0.3145072806436577,0.4203109996659415,0.6483139668909975,0.49056836536952425
58,0.20345969491549448,0.4510650672380363,0.34206701910945103,0.7424484831946236,0.8616545033797617,0.6413784963744027
59,0.21582555402475026,0.4645702896314293,0.3535841396801223,0.430672539131982,0.6562564583544926,0.5068254726273673
60,0.20899732559588954,0.4571622528859185,0.3499046236342707,0.5018912979534694,0.708442868517617,0.5449349795069013
61,0.17694148024804313,0.4206441253387031,0.31495372471946836,0.44328666584832327,0.6657977664789236,0.5029085491384778
62,0.18347585055886245,0.4283408110683611,0.31903941747618886,0.6676522493362427,0.8170999016865946,0.6230429325784955
63,0.23430452105112193,0.48405012244896894,0.3704990973229419,0.6104326503617423,0.7813018945079695,0.5983518830367497
64,0.19033378065293222,0.4362725990168672,0.3317128409303213,0.4184758407729013,0.6468970866937811,0.492207190820149
65,0.1686501773260121,0.41067039978543807,0.3102492967624622,0.4089650256293161,0.6395037338665944,0.4869594488825117
66,0.15204673780834596,0.3899317091598809,0.2947050721576632,0.42059467094285147,0.6485327061473858,0.49492913484573364
67,0.16092214751534345,0.40115102827028026,0.30220539606859836,0.3992389270237514,0.6318535645414619,0.4801206077848162
68,0.15873691700646725,0.39841801788250863,0.29738709218221865,0.42970510040010723,0.6555189550273182,0.48321012939725605
69,0.17460901727961858,0.4178624381462613,0.31583722071214154,0.4228957976613726,0.6503043884684868,0.4941408038139343
70,0.18307309582862516,0.42787041935911463,0.32924503312671266,0.4446604038987841,0.666828616586589,0.5001519066946847
71,0.1674973468426326,0.40926439715244234,0.31087432626610056,0.3833612161023276,0.6191617043247487,0.4615735837391445
72,0.13416021599737873,0.36627887699546174,0.27449325870251706,0.42528163535254343,0.6521362092021447,0.4794399695737021
73,0.28027358300934346,0.5294087107418459,0.3913497263999313,0.4433105077062334,0.6658156709677487,0.5157637510980878
74,0.16935557516874072,0.41152834058259,0.3158928755910328,0.40300645998546053,0.6348278979262494,0.49477682794843403
75,0.191070590209538,0.43711622018087576,0.33280131187777295,0.7822793892451695,0.8844655952863115,0.6878624643598285
76,0.23456387429966896,0.4843179473935566,0.368972535672579,0.4160377596105848,0.6450098910951558,0.48668885231018066
77,0.18516937922479837,0.43031311765364344,0.3217433957990152,0.4056698850222996,0.6369221969929292,0.4868717449051993
78,0.15121853143439323,0.3888682699852907,0.29723412736820803,0.4898326652390616,0.6998804649645978,0.5297553326402392
79,0.15053531530823253,0.38798880818290654,0.29800408920004734,0.4367489687034062,0.6608698576144975,0.4932383724621364
80,0.13601176047536592,0.36879772298018043,0.27836679460732744,0.43072889958109173,0.6562993978216739,0.48784846918923513
81,0.11148330537879017,0.33389115795760455,0.2501186074280157,0.4212692209652492,0.6490525563968216,0.4844039337975638
